name,city,state,chain,verdict,facility_type,confidence,reason,trophies,tss
Key West Car Wash LLC,Warsaw,IN,,confirmed_touchless,mixed_with_touchless,0.95,"Description confirms automatic touchless (water+detergent only, no brushes/cloth). Reviews confirm multiple touchless bays. Brushless option also present.","Warsaw, IN #3",80
Shamrock Car Wash - Woodlawn,Wichita,KS,,confirmed_touchless,mixed_with_touchless,0.98,"Website explicitly confirms touch-free automatic bays with sensing technology. Multiple reviews praise brushless/laser wash systems. Self-serve bays also available.","Wichita, KS #1",91
CAR wash Touch Free Seven Corners,Falls Church,VA,,confirmed_touchless,touchless_automatic,0.95,"Name, description, and multiple reviews explicitly confirm touchless/touch-free automatic wash. WashWorld equipment typical of touchless systems.","Washington, DC #2",78
Victory Auto Wash - Lowell,Lowell,MA,,confirmed_touchless,touchless_automatic,0.95,"Multiple reviews explicitly confirm 'touch free' and 'brushless' automatic wash. Description states 'touchless automated car wash experience.' High star rating, consistent positive feedback on touchless operation.","Worcester, MA #1",91
Soaps N Suds Laundromat & Car Wash,Virginia Beach,VA,Soaps N Suds,confirmed_touchless,mixed_with_touchless,0.98,"Website explicitly states touchless automatic with high-pressure + chemicals, no brushes mentioned. Multiple reviews confirm laser/touch-free wash. Mixed laundromat facility.","Virginia Beach, VA #1",87
Wash Fair Car Wash,Springfield,VA,,uncertain,unknown,0.45,"Reviews mention 'brushless' & 'touch less' but website lacks touchless terminology. Ride-thru model suggests soft-touch tunnel. Evidence conflicting.","Washington, DC #1",68
Ogden Car Wash,Wilmington,NC,,confirmed_touchless,mixed_with_touchless,0.92,"Reviews confirm genuine touchless/no-touch automatic bay present. Facility also operates soft-touch brush lane, but touchless option clearly available and operational.","Wilmington, NC #1",72
Wash ICT,Wichita,KS,,confirmed_touchless,touchless_automatic,0.92,"Multiple reviews explicitly confirm touchless/brush-free automatic wash. One negative review mentions scratching but doesn't contradict touchless technology.","Wichita, KS #2",81
Waky Car Wash,Wakarusa,IN,,confirmed_touchless,mixed_with_touchless,0.92,"Multiple reviews explicitly confirm touchless automatic/laser wash. One negative review claims damage but is isolated; majority evidence supports touchless technology present.","Warsaw, IN #2",87
Hometown Auto Spa - Lehighton,Lehighton,PA,,not_touchless,brush_tunnel,0.95,"Reviews explicitly mention 'scrubbers,' 'brushes,' and physical contact damage. Despite website claim of 'touchless automatic,' evidence shows brush/friction equipment causing paint damage.","Wilkes-Barre, PA #3",
Kwik Trip,Wausau,WI,Kwik Trip,confirmed_touchless,touchless_automatic,0.95,"Description explicitly confirms automatic touchless bay with overhead gantry and high-pressure nozzles, no physical contact.","Wausau, WI #1",
Checkered Flag Car & Dog Wash,Advance,NC,,confirmed_touchless,mixed_with_touchless,0.95,"Automatic touchless gantry with high-pressure nozzles confirmed. Multiple reviews reference touchless lanes. Mixed facility with self-serve options.","Winston-Salem, NC #2",90
Fitzy's Car Wash,North Grafton,MA,,confirmed_touchless,mixed_with_touchless,0.98,"Website explicitly names 'TOUCHLESS SABER WASH' available 24/7. Multiple reviews confirm touchless/no-touch/touch-less automatic service. Mixed facility with tunnel wash and self-serve bays also present.","Worcester, MA #2",85
Speedy Clean Car Wash,Plover,WI,,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly confirms Touchless Automatic bay (contact-free, chemicals/pressure). Mixed facility also offers Express Tunnel with brushes. Reviews corroborate touchless service quality.","Wisconsin Rapids, WI #2",73
Pink Bird Car Wash,West Palm Beach,FL,,uncertain,unknown,0.35,"Listing claims touchless automatic, but evidence contradicts: reviews mention staff hand-work (wheel shining, scratch buffing, detailing), scratches post-wash, and manual self-serve elements. No clear automatic touchless bay confirmed.","West Palm Beach, FL #1",82
Sheetz,St Clairsville,OH,Sheetz,uncertain,unknown,0.4,"Description claims touchless, but no touchless_wash_types listed and no reviews to verify. Incomplete evidence.","Wheeling, WV #3",
RAMS Auto Spa,Mineral Ridge,OH,,confirmed_touchless,mixed_with_touchless,0.98,"Touchless automatic gantry bay confirmed. High-pressure water/chemical, no brushes/cloth. Reviews consistently praise touchless bay; self-serve wand noted as secondary service.","Warren-Youngstown, OH #1",89
Valero Touchless Car Wash,Visalia,CA,Valero,confirmed_touchless,touchless_automatic,0.95,"Gantry-arm overhead system with high-pressure nozzles, no physical contact. Customer reviews confirm touchless operation. Name and description align with evidence.","Visalia, CA #3",62
Power Market,Yuba City,CA,Power Market,confirmed_touchless,touchless_automatic,0.85,"Chain uses Istobal systems with touchless option; listing explicitly states brushless touchless automated wash technology.","Yuba City, CA #2",
Kwik Trip,Fort Atkinson,WI,Kwik Trip,confirmed_touchless,mixed_with_touchless,0.92,"Description explicitly states automatic touchless bay with high-pressure water jets, no physical contact. Review confirms touch-free option present alongside soft-touch.","Watertown, WI #2",
Kwik Trip,WATERLOO,IA,Kwik Trip,confirmed_touchless,touchless_automatic,0.95,"PDQ Laserwash 360 Plus confirmed; gantry-arm, high-pressure nozzles, no physical contact described explicitly.","Waterloo-Cedar Falls, IA #3",
Girard Auto Bath,Girard,OH,,confirmed_touchless,mixed_with_touchless,0.98,"Two laser touchless automatic bays explicitly stated. Reviews confirm touch-free, brushless operation. Self-serve bays supplementary.","Warren-Youngstown, OH #2",85
Ashland Laser Wash,Ashland,OH,,confirmed_touchless,touchless_automatic,0.95,"Description explicitly states automatic touchless bay, water pressure + detergent only, no brushes/cloth/foam curtains. Reviews confirm laser wash technology; one mentions swirl-free results vs. brush competitors.","Wooster, OH #2",70
Power Market,Olivehurst,CA,Power Market,confirmed_touchless,touchless_automatic,0.95,"Description explicitly confirms automatic touchless bay with gantry arm, high-pressure nozzles, no physical contact. Istobal equipment is touchless technology.","Yuba City, CA #1",
Anderson Car Wash Queen Street,York,PA,,confirmed_touchless,mixed_with_touchless,0.85,"Multiple customers explicitly confirm touchless automatic bay. Website vague, but reviews clearly identify automatic wash as 'touchless' and 'touch less.' Mixed facility with self-serve bays also present.","York, PA #1",89
Sun Gas Chevron,West Palm Beach,FL,Chevron,confirmed_touchless,touchless_automatic,0.95,"Description explicitly states automatic touchless bay with high-pressure water jets, no physical contact. Reviews confirm touchless/brushless wash operates reliably.","West Palm Beach, FL #3",69
Kwik Trip,WAUSAU,WI,Kwik Trip,uncertain,unknown,0.4,"Description claims 'touchless automatic' and 'brushless wash' but no review evidence provided to confirm. Chain context unknown.","Wausau, WI #2",
Kwik Trip,OCONOMOWOC,WI,Kwik Trip,confirmed_touchless,touchless_automatic,0.92,"Description explicitly states '24-hour touchless automatic car wash' and 'brushless wash experience.' No contradictory evidence in reviews.","Watertown, WI #3",
Kwik Trip,OCONOMOWOC,WI,Kwik Trip,confirmed_touchless,touchless_automatic,0.95,"Description explicitly states '24-hour touchless automatic car wash' and 'brushless system'. Customer review confirms 'touchless' wash experience.","Watertown, WI #1",
Andover Laserwash,Andover,KS,,confirmed_touchless,touchless_automatic,0.98,"PDQ Laserwash gantry system with high-pressure nozzles, no physical contact. Multiple reviews confirm laser/touchless/no-touch automatic wash. 24/7 operation.","Wichita, KS #3",77
Kwik Trip,WISCONSIN RAPIDS,WI,Kwik Trip,uncertain,unknown,0.4,"Description claims touchless, but no touchless_wash_types listed and zero reviews to corroborate.","Wisconsin Rapids, WI #3",
Cornerstone Car Wash and Laundromat,Stewartstown,PA,,confirmed_touchless,mixed_with_touchless,0.95,"Multiple reviews explicitly confirm touchless/touch-free automatic bay. Description confirms high-pressure water+detergent, no brushes/cloth. Self-serve bays also present.","York, PA #2",88
Hyper Express Car Wash | TOUCHLESS Car Wash | Smithville,Smithville,OH,,confirmed_touchless,touchless_automatic,0.99,"Website explicitly states 'Touchless Automatic System' with high-pressure wash, no friction contact. Multiple reviews confirm no brushes, no scratching, automated gantry overhead system.","Wooster, OH #1",85
Orloski's Car Wash & Lube Shop,Wilkes-Barre Township,PA,,confirmed_touchless,mixed_with_touchless,0.75,"Description confirms automatic touchless bay with high-pressure water jets, no contact. Reviews mention both brush wash and touchless options available.","Wilkes-Barre, PA #2",
Mint Eco Car Wash and Detail Center,West Palm Beach,FL,,confirmed_touchless,mixed_with_touchless,0.92,"Description explicitly states automatic high-pressure water jets, no physical contact. Multiple reviews confirm 'brushless' and 'touchless' wash. Mixed facility includes detailing services.","West Palm Beach, FL #2",82
Coastal Carolina Car Wash,Leland,NC,Coastal Carolina Car Wash,uncertain,mixed_with_touchless,0.72,"Website confirms touchless automatic (Laserwash). One 2★ review mentions brushes causing scratches, contradicting touchless claim. Likely mixed facility with both touchless and brush options.","Wilmington, NC #3",80
Southport Auto Wash,Southport,NC,,confirmed_touchless,touchless_automatic,0.98,"Website explicitly advertises 'Touch-Free Automatic' wash. Multiple reviews confirm brushless, touchless system with high-pressure water. No brush/soft-touch evidence.","Wilmington, NC #2",80
Precision Wash,Watertown,NY,Precision Wash,confirmed_touchless,touchless_automatic,0.85,"Description explicitly states 'touchless automatic car wash services' and 'Laser wash'. Customer reviews mention '24h Laser wash' and 'touchless carwash' with sprayers, confirming touchless bay presence.","Watertown, NY #3",62
Laser Car Wash,Exeter,CA,,confirmed_touchless,touchless_automatic,0.95,"Automatic touchless bay confirmed: gantry-arm, high-pressure nozzles, no physical contact. Multiple reviews affirm touchless/touch-free operation.","Visalia, CA #1",84
Exxon,Bartonsville,PA,Exxon,confirmed_touchless,touchless_automatic,0.95,"Description explicitly confirms automatic touchless bay with gantry arm & high-pressure nozzles, no physical contact. Multiple reviews affirm touchless operation.","Wilkes-Barre, PA #1",68
Tiny Bubbles Car & Dog Wash,Watertown,NY,,confirmed_touchless,mixed_with_touchless,0.85,"Description confirms 'brushless touchless automated car wash.' Reviews cite 'touch free' and 'touch less' options. Facility also offers 'soft touch' option, making it mixed.","Watertown, NY #2",61
Power Market,Olivehurst,CA,Power Market,confirmed_touchless,touchless_automatic,0.92,"Chain uses Istobal touchless systems. Listing explicitly states high-pressure water+detergent only, no brushes/cloth/foam curtains.","Yuba City, CA #3",
Valley Car Wash,St Clairsville,OH,,confirmed_touchless,mixed_with_touchless,0.92,"Website confirms 'Razor Touch Free Automatic' systems at both locations. Multiple reviews explicitly mention 'touchless automatic bays' and 'brushless bays' alongside soft-touch option.","Wheeling, WV #2",63
Beach Bubbles,Virginia Beach,VA,,confirmed_touchless,mixed_with_touchless,0.95,"Multiple reviews explicitly confirm touchless automatic bay. Description states touchless automated wash + self-serve bays + vacuums. Genuine touchless operation verified.","Virginia Beach, VA #3",69
Kwik Trip,WATERLOO,IA,Kwik Trip,confirmed_touchless,touchless_automatic,0.95,"PDQ Laserwash 360 Plus confirmed touchless system. Description explicitly states no brushes/cloth. Customer selected 'Touch Free' wash option.","Waterloo-Cedar Falls, IA #2",
Festival Car Wash,Waterloo,IA,,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly states third-generation touchless-automatic equipment. Reviews confirm brushless automatic wash works well. Mixed facility with self-serve bays.","Waterloo-Cedar Falls, IA #1",62
M&M Car Wash,Touchless Automatic,Glen Dale,WV,,confirmed_touchless,mixed_with_touchless,0.98,"Two touchless automatic bays confirmed. High-pressure water jets, no physical contact. Mixed facility with self-serve bays also present.","Wheeling, WV #1",72
Canfield Auto Spa,Canfield,OH,Super Suds Auto Spa,confirmed_touchless,touchless_automatic,0.95,"Multiple reviews explicitly confirm touchless/brushless/touch-free automatic wash. No contradicting brush/cloth evidence.","Warren-Youngstown, OH #3",87
Champion's AutoWash,Wisconsin Rapids,WI,,confirmed_touchless,touchless_automatic,0.95,"Multiple reviews explicitly confirm touchless/touch-free automatic wash. No brush/bristle/cloth contact mentioned. Paint protection praised.","Wisconsin Rapids, WI #1",85
Splash Car Wash Express,Evans Mills,NY,Splash Car Wash,uncertain,unknown,0.35,"Website describes friction/soft-touch tunnel (no touchless mention). Reviews cite 'touchless option' & 'pull brushes back' — suggesting optional touchless, not standard automatic. Damage reports conflict with touchless claims.","Watertown, NY #1",78
College Park Car Wash,College Park,MD,,confirmed_touchless,mixed_with_touchless,0.92,"Description explicitly states 'automatic touchless drive-thru.' Multiple reviews mention 'touch-less wash' and 'brushless wash.' Mixed facility with self-serve bays also present.","Washington, DC #3",66
Kwik Trip,Wausau,MI,Kwik Trip,uncertain,unknown,0.4,"Description claims touchless (high-pressure water+detergent, no brushes/cloth) but touchless_wash_types field empty and no review evidence to confirm.","Wausau, WI #3",
Oil Changers & Car Wash,Visalia,CA,,confirmed_touchless,mixed_with_touchless,0.92,"Reviews explicitly confirm both contactless/touchless AND brush options available. Mixed facility qualifies if touchless bay present.","Visalia, CA #2",
Car Wash@821,Plymouth,IN,,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly states '24/7 Touchless Wash' automated service. Multiple reviews confirm touch-free operation. Also offers detailing, but touchless automatic bay is primary service.","Warsaw, IN #1",83
