name,city,state,chain,verdict,facility_type,confidence,reason,trophies,tss
Niagara Car Wash,Baldwinsville,NY,,confirmed_touchless,touchless_automatic,0.99,"Website explicitly states touch-free automatic wash bays. Multiple 5★ reviews confirm touchless/touch-free experience. No brush/cloth contact mentioned.","Syracuse, NY #1",92
Kelley's Market,Rockford,IL,Kelley's Market,confirmed_touchless,touchless_automatic,0.92,"Description explicitly states 'touchless (brushless) automated car wash'. Customer review mentions 'laser car wash' confirming touchless technology.","Rockford, IL #3",
Kwik Trip,SAINT JOSEPH,MN,Kwik Trip,confirmed_touchless,touchless_automatic,0.95,"Description explicitly states automatic touchless wash, no brushes/cloth. PDQ Laserwash 360 Plus is verified touchless equipment.","St. Cloud, MN #2",
Liberty Wash,Rome,NY,,confirmed_touchless,touchless_automatic,0.95,"Website explicitly states 'Laser Wash Process' & 'Laser Dri'. Laser wash = touchless automatic. Customer reviews confirm laser wash operation.","Utica-Rome, NY #3",69
Time To Shine Car Wash,Wichita,KS,,confirmed_touchless,mixed_with_touchless,0.98,"Website confirms touchless automatic + laser rinse. Multiple 5★ reviews praise touchless wash. Self-serve bays also available but touchless automatic is primary offering.","Wichita, KS #3",89
Wash Fair Car Wash,Springfield,VA,,uncertain,unknown,0.45,"Reviews mention 'brushless' & 'touch less' but website describes traditional ride-thru tunnel wash with no touchless terminology. Conflicting evidence.","Washington, DC #1",68
Soaps N Suds Laundromat & Car Wash,Virginia Beach,VA,Soaps N Suds,confirmed_touchless,mixed_with_touchless,0.98,"Website explicitly states touchless/brushless with high-pressure chemistry. Multiple reviews confirm laser wash, no-touch, touch-free automatic. Laundromat is secondary service.","Virginia Beach, VA #1",87
Mocksville Auto Pride Carwash,Mocksville,NC,Royal Rinse Car Wash,confirmed_touchless,mixed_with_touchless,0.95,"Chain operates Washworld Touch-Free IBA automated touchless bay. Multiple reviews confirm touchless option available. Mixed facility with self-serve bays also present.","Statesville, NC #3",64
Rapid Car Wash,Victor,NY,,confirmed_touchless,mixed_with_touchless,0.95,"LaserWash G5 touchless automatic confirmed by website + positive customer reviews praising 'touch less' and 'touch free' wash. Soft cloth tunnel present but doesn't disqualify mixed facility with genuine touchless bay.","Rochester, NY #3",74
Hartwell Car Wash,Rock Island,IL,,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly lists 'Touch Free Wash' across all membership tiers. Multiple reviews confirm touchless automatic bays present. Facility also offers brush automatics, making it mixed but clearly touchless-qualified.","Quad Cities, IA-IL #2",76
Ride With Pride Carwash 2,Taylorsville,NC,,confirmed_touchless,mixed_with_touchless,0.85,"Website explicitly mentions automatic touchless wash option. Self-serve bays alone insufficient, but automatic touchless bay confirmed present.","Statesville, NC #2",69
Kwik Trip,WATERLOO,IA,Kwik Trip,confirmed_touchless,touchless_automatic,0.95,"PDQ Laserwash 360 Plus is genuine touchless laser/high-pressure system. Description explicitly states touchless automatic with no physical contact.","Waterloo-Cedar Falls, IA #3",
Phil Dean's Car Wash,St. Petersburg,FL,,confirmed_touchless,mixed_with_touchless,0.95,"Multiple reviews explicitly confirm touchless/touch-free automatic wash. Mixed facility: detailing services + automatic touchless bay present.","Tampa, FL #1",87
Blue Tide Car Wash - Touchless,Sioux Falls,SD,Blue Tide Car Wash,confirmed_touchless,touchless_automatic,0.92,"Listing explicitly named 'Touchless'; multiple reviews confirm touchless wash; mentions automatic features (undercarriage, spot-free). No brush/cloth evidence.","Sioux Falls, SD #3",85
Kelly’s Market Car Wash,Rockford,IL,,confirmed_touchless,touchless_automatic,0.98,"Website explicitly states 'brush-free Laser Wash,' 'touch free,' 'laserwash touchfree' multiple times. Customer review confirms 'touch free car wash.' Clear automatic touchless technology.","Rockford, IL #1",
